Junction ID,Resiliency Technique,Resiliency Approach,Security Control ID (from Junction - 800-53r5/800-160v2 copy copy copy) (from Resiliency Technique)
47,Deception,Disinformation,"CP-09-08,IA-03-01,SC-07-16,SC-08-01,SC-08-04,SC-26-00,SC-28-01,SC-30-00,SC-30-04,SC-30-05,SC-35-00,SC-40-02,SC-40-03,SC-44-00,SI-19-04,SI-19-06,SI-20-00,SR-03-02,SR-05-00,SR-07-00,SR-09-01"
37,Dynamic Positioning,Distributed Functionality,"IR-04-02,SA-08-17,SC-07-16,SC-30-03,SC-36-00,SC-48-00,SC-48-01,SI-23-00"
1,Privilege Restriction,Dynamic Privileges,"AC-02-06,AC-02-08,AC-03-02,AC-03-07,AC-03-11,AC-03-12,AC-03-13,AC-06-00,AC-06-01,AC-06-02,AC-06-03,AC-06-04,AC-06-05,AC-06-06,AC-06-07,AC-06-08,AC-06-10,AC-23-00,AU-09-05,AU-09-06,CM-05-04,CM-05-05,CM-05-06,CM-07-05,CM-07-06,CP-09-07,IA-10-00,RA-05-05,SA-08-15,SA-08-18,SC-07-15"
2,Adaptive Response,Dynamic Reconfiguration,"AC-02-06,AC-02-08,AC-04-03,AU-05-03,AU-06-00,AU-13-00,CP-02-05,CP-12-00,CP-13-00,IA-10-00,IR-04-02,IR-04-03,IR-04-09,IR-04-11,PE-06-02,RA-03-03,SA-08-16,SC-05-02,SC-07-20,SC-36-01,SI-04-03,SI-04-07,SI-07-05"
6,Adaptive Response,Dynamic Resource Allocation,"AC-02-06,AC-02-08,AC-04-03,AU-05-03,AU-06-00,AU-13-00,CP-02-05,CP-12-00,CP-13-00,IA-10-00,IR-04-02,IR-04-03,IR-04-09,IR-04-11,PE-06-02,RA-03-03,SA-08-16,SC-05-02,SC-07-20,SC-36-01,SI-04-03,SI-04-07,SI-07-05"
24,Contextual Awareness,Dynamic Resource Awareness,"AT-02-01,AT-02-03,AT-02-05,AT-03-03,CA-07-03,CP-02-08,IR-04-04,PM-16-00,PM-16-01,RA-03-02,RA-03-03,RA-03-04,RA-09-00,RA-10-00,SA-11-02,SI-04-01,SI-04-02,SI-04-16,SI-04-17"
27,Segmentation,Dynamic Segmentation and Isolation,"AC-04-02,AC-04-21,AC-06-04,AU-06-08,AU-09-02,CM-04-01,CM-07-06,CM-07-07,IA-02-13,IR-04-12,MA-04-04,SA-03-02,SA-08-03,SA-08-06,SA-08-16,SC-02-00,SC-02-01,SC-03-00,SC-03-01,SC-03-02,SC-03-05,SC-07-00,SC-07-13,SC-07-15,SC-07-20,SC-07-21,SC-07-22,SC-07-29,SC-08-05,SC-11-00,SC-18-05,SC-32-00,SC-32-01,SC-35-00,SC-39-00,SC-39-01,SC-39-02,SC-44-00,SC-46-00,SC-49-00,SC-50-00"
21,Contextual Awareness,Dynamic Threat Awareness,"AT-02-01,AT-02-03,AT-02-05,AT-03-03,CA-07-03,CP-02-08,IR-04-04,PM-16-00,PM-16-01,RA-03-02,RA-03-03,RA-03-04,RA-09-00,RA-10-00,SA-11-02,SI-04-01,SI-04-02,SI-04-16,SI-04-17"
422,Realignment,Evolvability,"AC-06-02,CM-02-07,CM-07-02,CM-07-04,CM-07-05,CP-12-00,PM-07-01,PM-32-00,RA-09-00,SA-08-02,SA-08-03,SA-08-06,SA-08-07,SA-08-08,SA-08-13,SA-08-31,SA-11-06,SA-15-05,SA-17-06,SA-20-00,SA-23-00,SC-03-03,SC-03-05,SC-07-15,SC-25-00,SC-27-00,SI-16-00"
26,Analytic Monitoring,Forensic and Behavioral Analysis,"AC-02-12,AC-23-00,AU-06-00,AU-06-03,AU-06-05,AU-06-06,AU-06-08,AU-06-09,AU-13-00,AU-13-03,CA-07-06,CM-02-07,CM-08-03,IR-04-04,IR-04-11,IR-04-12,IR-04-13,IR-05-00,PE-06-00,PE-06-02,PE-06-04,PM-31-00,RA-05-04,RA-05-05,RA-05-06,RA-05-08,RA-05-10,RA-10-00,SC-05-03,SC-07-10,SC-26-00,SC-35-00,SC-44-00,SI-03-10,SI-04-01,SI-04-02,SI-04-03,SI-04-04,SI-04-07,SI-04-10,SI-04-11,SI-04-13,SI-04-16,SI-04-17,SI-04-18,SI-04-24,SI-04-25,SI-07-07,SR-06-01,SR-10-00"
52,Dynamic Positioning,Fragmentation,"IR-04-02,SA-08-17,SC-07-16,SC-30-03,SC-36-00,SC-48-00,SC-48-01,SI-23-00"
41,Dynamic Positioning,Functional Relocation of Cyber Resources,"IR-04-02,SA-08-17,SC-07-16,SC-30-03,SC-36-00,SC-48-00,SC-48-01,SI-23-00"
33,Dynamic Positioning,Functional Relocation of Sensors,"IR-04-02,SA-08-17,SC-07-16,SC-30-03,SC-36-00,SC-48-00,SC-48-01,SI-23-00"
51,Diversity,Information Diversity,"AC-04-27,AC-04-30,AC-07-04,AU-09-07,CP-08-03,CP-11-00,CP-13-00,IA-02-06,IA-02-13,PL-08-02,SA-17-09,SC-27-00,SC-29-00,SC-29-01,SC-37-00,SC-47-00,SI-16-00,SI-22-00,SR-03-01,SR-03-02,SR-05-01"
10,Substantiated Integrity,Integrity Checks,"AC-02-12,AC-04-08,AC-04-12,AC-04-17,AU-06-00,AU-09-01,AU-09-03,AU-09-06,AU-10-02,CM-14-00,CP-09-01,CP-09-08,IA-03-01,IR-04-13,PE-03-05,PM-30-01,SA-08-16,SA-08-19,SA-09-07,SC-07-11,SC-08-01,SC-08-05,SC-11-00,SC-16-01,SC-16-03,SC-28-01,SC-34-00,SC-34-02,SC-36-01,SC-51-00,SI-04-02,SI-04-04,SI-04-13,SI-06-00,SI-07-00,SI-07-01,SI-07-05,SI-07-06,SI-07-07,SI-07-09,SI-07-10,SI-07-12,SI-07-15,SI-10-03,SI-10-05,SI-14-01,SI-15-00,SR-04-00,SR-04-01,SR-04-02,SR-04-03,SR-04-04,SR-05-00,SR-09-00,SR-09-01,SR-10-00,SR-11-00,SR-11-03"
46,Deception,Misdirection,"CP-09-08,IA-03-01,SC-07-16,SC-08-01,SC-08-04,SC-26-00,SC-28-01,SC-30-00,SC-30-04,SC-30-05,SC-35-00,SC-40-02,SC-40-03,SC-44-00,SI-19-04,SI-19-06,SI-20-00,SR-03-02,SR-05-00,SR-07-00,SR-09-01"
28,Contextual Awareness,Mission Dependency and Status Visualization,"AT-02-01,AT-02-03,AT-02-05,AT-03-03,CA-07-03,CP-02-08,IR-04-04,PM-16-00,PM-16-01,RA-03-02,RA-03-03,RA-03-04,RA-09-00,RA-10-00,SA-11-02,SI-04-01,SI-04-02,SI-04-16,SI-04-17"
5,Analytic Monitoring,Monitoring and Damage Assessment,"AC-02-12,AC-23-00,AU-06-00,AU-06-03,AU-06-05,AU-06-06,AU-06-08,AU-06-09,AU-13-00,AU-13-03,CA-07-06,CM-02-07,CM-08-03,IR-04-04,IR-04-11,IR-04-12,IR-04-13,IR-05-00,PE-06-00,PE-06-02,PE-06-04,PM-31-00,RA-05-04,RA-05-05,RA-05-06,RA-05-08,RA-05-10,RA-10-00,SC-05-03,SC-07-10,SC-26-00,SC-35-00,SC-44-00,SI-03-10,SI-04-01,SI-04-02,SI-04-03,SI-04-04,SI-04-07,SI-04-10,SI-04-11,SI-04-13,SI-04-16,SI-04-17,SI-04-18,SI-04-24,SI-04-25,SI-07-07,SR-06-01,SR-10-00"
40,Non-Persistence,Non-Persistent Connectivity,"AC-12-00,SC-07-10,SC-10-00,SC-15-01,SC-23-03,SC-25-00,SC-29-01,SC-34-01,SI-14-00,SI-14-01,SI-14-02,SI-14-03,SI-21-00"
42,Non-Persistence,Non-Persistent Information,"AC-12-00,SC-07-10,SC-10-00,SC-15-01,SC-23-03,SC-25-00,SC-29-01,SC-34-01,SI-14-00,SI-14-01,SI-14-02,SI-14-03,SI-21-00"
19,Non-Persistence,Non-Persistent Services,"AC-12-00,SC-07-10,SC-10-00,SC-15-01,SC-23-03,SC-25-00,SC-29-01,SC-34-01,SI-14-00,SI-14-01,SI-14-02,SI-14-03,SI-21-00"
30,Deception,Obfuscation,"CP-09-08,IA-03-01,SC-07-16,SC-08-01,SC-08-04,SC-26-00,SC-28-01,SC-30-00,SC-30-04,SC-30-05,SC-35-00,SC-40-02,SC-40-03,SC-44-00,SI-19-04,SI-19-06,SI-20-00,SR-03-02,SR-05-00,SR-07-00,SR-09-01"
35,Realignment,Offloading,"AC-06-02,CM-02-07,CM-07-02,CM-07-04,CM-07-05,CP-12-00,PM-07-01,PM-32-00,RA-09-00,SA-08-02,SA-08-03,SA-08-06,SA-08-07,SA-08-08,SA-08-13,SA-08-31,SA-11-06,SA-15-05,SA-17-06,SA-20-00,SA-23-00,SC-03-03,SC-03-05,SC-07-15,SC-25-00,SC-27-00,SI-16-00"
14,Coordinated Protection,Orchestration,"AC-04-29,AC-06-07,AT-02-01,AT-03-03,CA-07-05,CA-08-00,CA-08-01,CA-08-02,CA-08-03,CP-02-01,CP-02-05,CP-04-05,CP-09-01,IA-02-06,IA-02-13,IA-10-00,IR-04-03,IR-04-04,IR-04-10,IR-04-11,PE-06-02,PE-06-04,PL-08-01,SA-08-03,SA-08-04,SA-08-08,SA-11-05,SA-17-08,SC-03-05,SC-07-10,SC-36-02,SI-19-08,SR-06-01"
18,Diversity,Path Diversity,"AC-04-27,AC-04-30,AC-07-04,AU-09-07,CP-08-03,CP-11-00,CP-13-00,IA-02-06,IA-02-13,PL-08-02,SA-17-09,SC-27-00,SC-29-00,SC-29-01,SC-37-00,SC-47-00,SI-16-00,SI-22-00,SR-03-01,SR-03-02,SR-05-01"
9,Segmentation,Predefined Segmentation,"AC-04-02,AC-04-21,AC-06-04,AU-06-08,AU-09-02,CM-04-01,CM-07-06,CM-07-07,IA-02-13,IR-04-12,MA-04-04,SA-03-02,SA-08-03,SA-08-06,SA-08-16,SC-02-00,SC-02-01,SC-03-00,SC-03-01,SC-03-02,SC-03-05,SC-07-00,SC-07-13,SC-07-15,SC-07-20,SC-07-21,SC-07-22,SC-07-29,SC-08-05,SC-11-00,SC-18-05,SC-32-00,SC-32-01,SC-35-00,SC-39-00,SC-39-01,SC-39-02,SC-44-00,SC-46-00,SC-49-00,SC-50-00"
29,Redundancy,Protected Backup and Restore,"AC-04-27,AC-04-30,CP-09-00,CP-09-01,CP-09-06,CP-09-08,PE-09-01,PE-11-01,PE-11-02,PE-17-00,SA-08-19,SC-05-02,SC-22-00,SC-36-00,SC-36-02,SR-05-01"
11,Substantiated Integrity,Provenance Tracking,"AC-02-12,AC-04-08,AC-04-12,AC-04-17,AU-06-00,AU-09-01,AU-09-03,AU-09-06,AU-10-02,CM-14-00,CP-09-01,CP-09-08,IA-03-01,IR-04-13,PE-03-05,PM-30-01,SA-08-16,SA-08-19,SA-09-07,SC-07-11,SC-08-01,SC-08-05,SC-11-00,SC-16-01,SC-16-03,SC-28-01,SC-34-00,SC-34-02,SC-36-01,SC-51-00,SI-04-02,SI-04-04,SI-04-13,SI-06-00,SI-07-00,SI-07-01,SI-07-05,SI-07-06,SI-07-07,SI-07-09,SI-07-10,SI-07-12,SI-07-15,SI-10-03,SI-10-05,SI-14-01,SI-15-00,SR-04-00,SR-04-01,SR-04-02,SR-04-03,SR-04-04,SR-05-00,SR-09-00,SR-09-01,SR-10-00,SR-11-00,SR-11-03"
16,Realignment,Purposing,"AC-06-02,CM-02-07,CM-07-02,CM-07-04,CM-07-05,CP-12-00,PM-07-01,PM-32-00,RA-09-00,SA-08-02,SA-08-03,SA-08-06,SA-08-07,SA-08-08,SA-08-13,SA-08-31,SA-11-06,SA-15-05,SA-17-06,SA-20-00,SA-23-00,SC-03-03,SC-03-05,SC-07-15,SC-25-00,SC-27-00,SI-16-00"
38,Realignment,Replacement,"AC-06-02,CM-02-07,CM-07-02,CM-07-04,CM-07-05,CP-12-00,PM-07-01,PM-32-00,RA-09-00,SA-08-02,SA-08-03,SA-08-06,SA-08-07,SA-08-08,SA-08-13,SA-08-31,SA-11-06,SA-15-05,SA-17-06,SA-20-00,SA-23-00,SC-03-03,SC-03-05,SC-07-15,SC-25-00,SC-27-00,SI-16-00"
13,Redundancy,Replication,"AC-04-27,AC-04-30,CP-09-00,CP-09-01,CP-09-06,CP-09-08,PE-09-01,PE-11-01,PE-11-02,PE-17-00,SA-08-19,SC-05-02,SC-22-00,SC-36-00,SC-36-02,SR-05-01"
25,Realignment,Restriction,"AC-06-02,CM-02-07,CM-07-02,CM-07-04,CM-07-05,CP-12-00,PM-07-01,PM-32-00,RA-09-00,SA-08-02,SA-08-03,SA-08-06,SA-08-07,SA-08-08,SA-08-13,SA-08-31,SA-11-06,SA-15-05,SA-17-06,SA-20-00,SA-23-00,SC-03-03,SC-03-05,SC-07-15,SC-25-00,SC-27-00,SI-16-00"
53,Deception,Self-Challenge,"CP-09-08,IA-03-01,SC-07-16,SC-08-01,SC-08-04,SC-26-00,SC-28-01,SC-30-00,SC-30-04,SC-30-05,SC-35-00,SC-40-02,SC-40-03,SC-44-00,SI-19-04,SI-19-06,SI-20-00,SR-03-02,SR-05-00,SR-07-00,SR-09-01"
20,Coordinated Protection,Self-Challenge,"AC-04-29,AC-06-07,AT-02-01,AT-03-03,CA-07-05,CA-08-00,CA-08-01,CA-08-02,CA-08-03,CP-02-01,CP-02-05,CP-04-05,CP-09-01,IA-02-06,IA-02-13,IA-10-00,IR-04-03,IR-04-04,IR-04-10,IR-04-11,PE-06-02,PE-06-04,PL-08-01,SA-08-03,SA-08-04,SA-08-08,SA-11-05,SA-17-08,SC-03-05,SC-07-10,SC-36-02,SI-19-08,SR-06-01"
22,Analytic Monitoring,Sensor Fusion and Analysis,"AC-02-12,AC-23-00,AU-06-00,AU-06-03,AU-06-05,AU-06-06,AU-06-08,AU-06-09,AU-13-00,AU-13-03,CA-07-06,CM-02-07,CM-08-03,IR-04-04,IR-04-11,IR-04-12,IR-04-13,IR-05-00,PE-06-00,PE-06-02,PE-06-04,PM-31-00,RA-05-04,RA-05-05,RA-05-06,RA-05-08,RA-05-10,RA-10-00,SC-05-03,SC-07-10,SC-26-00,SC-35-00,SC-44-00,SI-03-10,SI-04-01,SI-04-02,SI-04-03,SI-04-04,SI-04-07,SI-04-10,SI-04-11,SI-04-13,SI-04-16,SI-04-17,SI-04-18,SI-04-24,SI-04-25,SI-07-07,SR-06-01,SR-10-00"
36,Realignment,Specialization,"AC-06-02,CM-02-07,CM-07-02,CM-07-04,CM-07-05,CP-12-00,PM-07-01,PM-32-00,RA-09-00,SA-08-02,SA-08-03,SA-08-06,SA-08-07,SA-08-08,SA-08-13,SA-08-31,SA-11-06,SA-15-05,SA-17-06,SA-20-00,SA-23-00,SC-03-03,SC-03-05,SC-07-15,SC-25-00,SC-27-00,SI-16-00"
34,,Standard practice,
32,Diversity,Supply Chain Diversity,"AC-04-27,AC-04-30,AC-07-04,AU-09-07,CP-08-03,CP-11-00,CP-13-00,IA-02-06,IA-02-13,PL-08-02,SA-17-09,SC-27-00,SC-29-00,SC-29-01,SC-37-00,SC-47-00,SI-16-00,SI-22-00,SR-03-01,SR-03-02,SR-05-01"
39,Redundancy,Surplus Capacity,"AC-04-27,AC-04-30,CP-09-00,CP-09-01,CP-09-06,CP-09-08,PE-09-01,PE-11-01,PE-11-02,PE-17-00,SA-08-19,SC-05-02,SC-22-00,SC-36-00,SC-36-02,SR-05-01"
48,Diversity,Synthetic Diversity,"AC-04-27,AC-04-30,AC-07-04,AU-09-07,CP-08-03,CP-11-00,CP-13-00,IA-02-06,IA-02-13,PL-08-02,SA-17-09,SC-27-00,SC-29-00,SC-29-01,SC-37-00,SC-47-00,SI-16-00,SI-22-00,SR-03-01,SR-03-02,SR-05-01"
49,Deception,Tainting,"CP-09-08,IA-03-01,SC-07-16,SC-08-01,SC-08-04,SC-26-00,SC-28-01,SC-30-00,SC-30-04,SC-30-05,SC-35-00,SC-40-02,SC-40-03,SC-44-00,SI-19-04,SI-19-06,SI-20-00,SR-03-02,SR-05-00,SR-07-00,SR-09-01"
44,Unpredictability,Temporal Unpredictability,"SC-08-04,SC-23-03,SC-30-02,SC-30-03,SC-40-03,SI-16-00"
7,Privilege Restriction,Trust-Based Privilege Management,"AC-02-06,AC-02-08,AC-03-02,AC-03-07,AC-03-11,AC-03-12,AC-03-13,AC-06-00,AC-06-01,AC-06-02,AC-06-03,AC-06-04,AC-06-05,AC-06-06,AC-06-07,AC-06-08,AC-06-10,AC-23-00,AU-09-05,AU-09-06,CM-05-04,CM-05-05,CM-05-06,CM-07-05,CM-07-06,CP-09-07,IA-10-00,RA-05-05,SA-08-15,SA-08-18,SC-07-15"
15,,Trust-Based Usage Restriction,
